Index,Artist,Title,Mood,Check
ML100,Bad Company,Can't Get Enough,happy,Y
ML1003,Los Lobos,Come On Let's Go,happy,Y
ML1008,Hezekiah Walker & The Love Fellowship Crusade Choir,Power Belongs To God,happy,Y
ML1009,Donald Byrd,Think Twice,happy,Y
ML1011,Inner City,Good Life,happy,Y
ML1014,Fats Domino,All By Myself,happy,Y
ML1015,Al Green,You've Got The Love I Need,happy,Y
ML1016,Patrice Rushen,Settle For My Love,happy,Y
ML1022,The Stooges,No Fun,happy,Y
ML1024,Fatboy Slim,Everybody Needs A 303,happy,Y
ML1032,Tony Bennett,Because Of You,happy,Y
ML1034,The Red Hot Chili Peppers,Blood Sugar Sex Magik,happy,Y
ML1036,Enya,Amarantine,happy,Y
ML1041,The Beatles,I Should Have Known Better,happy,Y
ML1042,Roger Daltrey,Without Your Love,happy,Y
ML1044,Ohio Express,Yummy Yummy Yummy,happy,Y
ML1045,Small Faces,Itchycoo Park,happy,Y
ML1046,The Supremes,Baby Love,happy,Y
ML1047,"Blood, Sweat & Tears",You've Made Me So Very Happy,happy,Y
ML1048,Olivia Newton-John,I Honestly Love You,happy,Y
ML1049,The Ronettes,"Baby, I Love You",happy,Y
ML105,David Bowie,Fame,happy,Y
ML1050,Van Morrison,Crazy Love,happy,Y
ML1055,The Beatles,Love Me Do,happy,Y
ML1056,Wayne Fontana & The Mindbenders,The Game Of Love,happy,Y
ML1057,Otis Redding,That's How Strong My Love Is,happy,Y
ML1058,The Whispers,It's A Love Thing,happy,Y
ML1059,Laura Izibor,From My Heart To Yours,happy,Y
ML1060,Rufus & Chaka Khan,Do You Love What You Feel,happy,Y
ML1063,Anthony Hamilton,The Point Of It All,happy,Y
ML1064,Donny Hathaway,I Love You More Than You'll Ever Know,happy,Y
ML1067,Karyn White,Love Saw It,happy,Y
ML1068,Teena Marie,Portuguese Love,happy,Y
ML1077,Whitney Houston,All The Man That I Need,happy,Y
ML1081,Baths,Maximalist,happy,N
ML1082,Lucinda Williams,Born To Be Loved,happy,Y
ML1083,Daft Punk,Make Love,happy,Y
ML1088,Yeah Yeah Yeahs,Maps,happy,Y
ML1090,Crystal Gayle,A Long And Lasting Love,happy,Y
ML1091,Pat Benatar,We Live For Love,happy,Y
ML1095,Me'Shell Ndegeocello,Love You Down,happy,Y
ML1098,Franz Ferdinand,Do You Want To,happy,Y
ML11,Deitrick Haddon,Love Him Like I Do,happy,Y
ML110,Gregory Isaacs,Private Beach Party,happy,Y
ML1103,Rufus & Chaka Khan,Everlasting Love,happy,Y
ML1108,Gucci Mane,I Don't Love Her,happy,Y
ML1109,Keri Hilson,Make Love,happy,Y
ML1110,Chris Brown,Beautiful People,happy,Y
ML1118,The Everly Brothers,When Will I Be Loved,happy,Y
ML1121,The Drums,I Need Fun In My Life,happy,Y
ML1000,The Police,So Lonely,sad,Y
ML1012,La Ley,Aqui,sad,N
ML1013,Ednita Nazario,Sobrevivo,sad,N
ML1017,K-Paz De La Sierra,Volvere,sad,N
ML1018,Ricardo Montaner,Tan Enamorados,sad,N
ML1019,RBD,Nuestro Amor,sad,N
ML102,Billy Squier,In The Dark,sad,Y
ML1020,Belinda,Bella Traicion,sad,N
ML1021,Braids,Lemonade,sad,Y
ML1028,Bloc Party,Like Eating Glass,sad,Y
ML1030,Tokyo Police Club,Big Difference,sad,Y
ML1031,Love Is All,Make Out Fall Out Make Up,sad,Y
ML1035,Warrant,Sometimes She Cries,sad,Y
ML1037,Andy Andy,Que Ironia,sad,N
ML1038,Victor Manuelle,Asi Es La Mujer,sad,N
ML1052,Eddie Holman,Hey There Lonely Girl,sad,Y
ML1061,Loose Ends,Slow Down,sad,Y
ML1062,Ann Nesby,Put It On Paper,sad,Y
ML1066,Boney James,Don't Let Me Be Lonely Tonight,sad,Y
ML1071,Gotan Project,Amor Porteno,sad,N
ML1086,El Guincho,Lycra Mistral,sad,N
ML1087,The Hundred In The Hands,Dead Ending,sad,Y
ML1089,Ed Bruce,The Last Cowboy Song,sad,Y
ML1094,Stateless,Assassinations,sad,Y
ML1097,Vivian Girls,I Heard You Say,sad,Y
ML1099,UNKLE,Hold My Hand,sad,Y
ML1100,36 Crazyfists,The All Night Lights,sad,Y
ML1101,The Devil Wears Prada,Dez Moines,sad,Y
ML1102,Alabama,Sad Lookin' Moon,sad,Y
ML1112,Rocio Durcal,No Sirvo Para Estar Sin Ti,sad,N
ML1113,Albert Hammond,Echame A Mi La Culpa,sad,N
ML1114,Banda El Recodo,Tiro Arriba,sad,N
ML1119,Enanitos Verdes,Mejor No Hablemos De Amor,sad,N
ML1123,Mission Of Burma,That's How I Escaped My Certain Fate,sad,Y
ML1126,Sin Fang,Always Everything,sad,Y
ML1127,Fischerspooner,Happy,sad,Y
ML1129,Willie Nelson & Leon Russell,Heartbreak Hotel,sad,Y
ML1143,Gloria Trevi,Me Rio De Ti,sad,N
ML1144,Soraya,Llevame,sad,N
ML1145,Bury Your Dead,Twelfth Stroke Of Midnight,sad,Y
ML1146,Roy Orbison,Only The Lonely,sad,Y
ML1148,Banda Maguey,Que Sacrificio,sad,N
ML1149,Alejandro Fernandez,Si He Sabido Amor,sad,N
ML1155,Boney James,I Get Lonely,sad,Y
ML1157,Patty Griffin,Rowing Song,sad,Y
ML1159,Tito Nieves,Mi Eterno Amor Secreto,sad,N
ML1160,Grupo Niche,Gotas De Lluvia,sad,N
ML1166,Paul McCartney & Wings,Helen Wheels,sad,Y
ML1168,Elvis Presley,Heartbreak Hotel,sad,Y
ML1191,James Taylor,Don't Let Me Be Lonely Tonight,sad,Y
ML1010,The Meters,Fire On The Bayou,angry,Y
ML1025,Metric,On The Sly,angry,Y
ML1026,Warpaint,Set Your Arms Down,angry,Y
ML1039,Motley Crue,Louder Than Hell,angry,Y
ML104,Van Halen,Runnin' With The Devil,angry,Y
ML1040,New Order,Shellshock,angry,Y
ML1054,The Bee Gees,Tragedy,angry,Y
ML1069,Lisa Fischer,How Can I Ease The Pain,angry,Y
ML1073,Skeletonwitch,Upon Wings Of Black,angry,Y
ML1074,Hatebreed,Destroy Everything,angry,Y
ML1075,Lamb Of God,Black Label,angry,Y
ML1076,Metallica,St. Anger,angry,Y
ML1078,Patti LaBelle,Kiss Away The Pain,angry,Y
ML1080,The Radio Dept.,Heaven's On Fire,angry,Y
ML1084,New Order,Age Of Consent,angry,Y
ML1092,Boz Scaggs,Breakdown Dead Ahead,angry,Y
ML1093,The Raveonettes,War In Heaven,angry,Y
ML1096,Gorillaz,Broken,angry,Y
ML1104,Mr. Capone-E,Light My Fire,angry,Y
ML1105,Raheem DeVaughn,I Don't Care,angry,Y
ML1111,Jeremy Camp,You Never Let Go,angry,Y
ML1117,Immature,Never Lie,angry,Y
ML112,Ooklah The Moc,Hell Fire,angry,N
ML1120,The Herbaliser,Gadget Funk,angry,Y
ML1122,Michael Franti & Spearhead,Light Up Ya Lighter,angry,Y
ML1130,Son Volt,Drown,angry,Y
ML1131,Faith No More,War Pigs,angry,Y
ML1134,Sarah McLachlan,Into The Fire,angry,Y
ML1139,Beck,Lost Cause,angry,Y
ML1147,Roy Orbison,Running Scared,angry,Y
ML1152,Kirk Franklin,Afterwhile,angry,Y
ML1163,Brook Benton,Lie To Me,angry,Y
ML1165,The Beatles,I Want You,angry,Y
ML1179,Jazmine Sullivan,Fear,angry,Y
ML118,R.E.M.,The One I Love,angry,N
ML1184,Max Romeo & The Upsetters,War Ina Babylon,angry,Y
ML1186,Static-X,Bled For Days,angry,Y
ML1187,Hatebreed,Ghosts Of War,angry,Y
ML1189,"Earth, Wind & Fire",Evil,angry,Y
ML1192,Rob Zombie,Demon Speeding,angry,Y
ML1193,Motorhead,The Game,angry,Y
ML1196,Bad Religion,The Biggest Killer In American History,angry,Y
ML1197,The Clash,Tommy Gun,angry,Y
ML1198,Dio,Stand Up And Shout,angry,Y
ML1205,Chelley,Took The Night,angry,Y
ML1214,Nellie McKay,Mother Of Pearl,angry,Y
ML1215,Steel Pulse,Blazing Fire,angry,Y
ML1223,Dokken,Into The Fire,angry,Y
ML1224,Kreator,Warcurse,angry,Y
ML1226,Culture Club,The War Song,angry,Y
ML1,Usher,There Goes My Baby,relaxed,Y
ML10,Beenie Man,Slam,relaxed,Y
ML1001,Rockpile,Teacher Teacher,relaxed,Y
ML1002,Air,Cherry Blossom Girl,relaxed,Y
ML1004,Damien Rice,The Blowers Daughter,relaxed,Y
ML1005,Byron Cage,It Is To You,relaxed,Y
ML1006,Will Downing,Lover's Melody,relaxed,Y
ML1007,Mary J. Blige,I Can See In Color,relaxed,Y
ML101,The Who,Love Reign O'er Me,relaxed,Y
ML1023,Sonic Youth,Reena,relaxed,Y
ML1027,White Fence,Harness,relaxed,N
ML1029,Smith Westerns,Fallen In Love,relaxed,Y
ML1033,Billie Holiday,Summertime,relaxed,Y
ML1043,David Lee Roth,Just Like Paradise,relaxed,Y
ML1051,The Rascals,People Got To Be Free,relaxed,Y
ML1053,The Cowsills,"The Rain, The Park And Other Things",relaxed,Y
ML1065,Jerzee Monet,Most High,relaxed,Y
ML1070,Dave Hollister,Take Care Of Home,relaxed,Y
ML1072,The Infamous Stringdusters,Starry Night,relaxed,Y
ML1079,Johnny Hartman,The Very Thought Of You,relaxed,Y
ML108,Three Plus,Two Person Party,relaxed,Y
ML1085,Roy Orbison,Candy Man,relaxed,Y
ML109,Bob Marley & The Wailers,Easy Skanking,relaxed,Y
ML1107,Gretchen Parlato,Blue In Green,relaxed,Y
ML111,Fiji,Anything You Want,relaxed,N
ML1115,Roberta Gambarini,From This Moment On,relaxed,Y
ML1116,Back Door Slam,Come Home,relaxed,Y
ML1124,Frank Sinatra,My Kind Of Town,relaxed,Y
ML1125,Loreena McKennitt,Down By The Sally Gardens,relaxed,Y
ML1128,Craig Morgan,I Got You,relaxed,Y
ML113,Shaggy,Angel,relaxed,
ML1138,Graham Parker,White Honey,relaxed,Y
ML1141,Melba Moore,Time To Come Home,relaxed,Y
ML1142,Incognito,Your Sun My Sky,relaxed,Y
ML115,The Beach Boys,Good Vibrations,relaxed,N
ML1151,Fred Hammond,Keep On Praisin',relaxed,Y
ML1153,Phil Perry,The World Is A Ghetto,relaxed,Y
ML1154,Expatriate,Gotta Get Home,relaxed,Y
ML1167,The Doors,Waiting For The Sun,relaxed,Y
ML1172,The Hollies,The Air That I Breathe,relaxed,Y
ML1173,Gene Vincent & His Blue Caps,Be-Bop-A-Lula,relaxed,Y
ML1177,Angela Winbush,Angel,relaxed,Y
ML1178,Charlie Wilson,Without You,relaxed,Y
ML1188,Howlin' Wolf,Shake For Me,relaxed,Y
ML1199,Kirk Franklin & The Family,Now Behold The Lamb,relaxed,Y
ML1203,Bettye LaVette,It Don't Come Easy,relaxed,Y
ML1207,Johnny O.,Fantasy Girl,relaxed,Y
ML1210,Harlem,Spray Paint,relaxed,Y
ML1211,Fleet Foxes,Sun It Rises,relaxed,Y
ML1212,Nellie McKay,The Very Thought Of You,relaxed,Y